,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
16,171593,300314.XSHE,2020-12-31,2021-02-09,2020-12-31,0.47,123147540.45,98008273.5,46721923.78,15.2819,13.8184,13.0497,29.6368,58.6367,78.6721,32.1636,29.6368,18.3115,8.5326,0.1916,66.8304,31.859,90.4231,114.5601,29.9719,140.529,28.9541,,28.9541,,105.2554,,119.4616,,119.4616,
17,171594,002014.XSHE,2020-12-31,2021-02-09,2020-12-31,0.61,275681402.93,332778969.37,13497966.11,15.7456,14.3244,11.2326,11.2849,24.3597,87.8437,12.7247,11.2849,2.3247,4.9352,0.1836,95.2427,3.8632,90.9743,97.7825,20.0411,164.8612,5.2995,,5.2995,,13.1272,,12.5912,,12.6026,
18,171595,600701.XSHG,2020-12-31,2021-02-09,2020-12-31,-1.9561,-903652354.81,-400464522.87,64367.34,,,-54.0209,-734.8964,46.6081,241.5944,-312.4082,-734.8964,26.7858,73.0453,81.5815,,,,100.7957,1.9285,,-63.8812,,-63.8812,,-221.4448,,46.1511,,46.9288,
19,171596,300285.XSHE,2020-12-31,2021-02-09,2020-12-31,0.6,539389691.57,714589960.12,4006946.62,13.2718,12.4751,11.470999999999998,24.4346,46.3366,71.8915,28.0069,24.4346,4.1384,5.5549,1.1887,99.8814,0.5601,93.9965,84.2262,30.3729,108.0559,18.0754,,18.0754,,14.6874,,14.2911,,14.6389,
20,171597,603856.XSHG,2020-12-31,2021-02-09,2020-12-31,1.24,307237045.04,395517855.55,870224.87,17.3845,16.7695,12.852,13.3124,26.2271,83.4687,15.5767,13.3124,3.3061,3.0259,0.1707,105.9459,0.2331,96.4625,85.4746,-1.1325,-6.8508,30.1304,,30.1304,,62.2207,,58.1526,,58.1519,
21,171598,002192.XSHE,2020-12-31,2021-02-09,2020-12-31,0.081,14341828.8,18216711.65,-202875.68,3.7703,2.5694,2.2894,5.3642,31.733,95.3283,5.0824,5.3642,3.1023,17.2742,1.527,78.2678,-0.8717,68.1489,56.7105,-3.7243,-79.7197,44.5289,,44.5289,,106.2136,,106.1706,,106.4529,
22,171599,002130.XSHE,2020-12-31,2021-02-09,2020-12-31,0.31,346722720.64,473055624.69,3173892.4,12.8871,11.2905,6.4228,10.4557,39.3165,88.4473,12.2298,10.4557,10.024,6.6961,3.4771,95.6684,0.6419,87.6107,84.1338,18.7479,162.282,2.9334,,2.9334,,90.1322,,89.8276,,88.8227,
23,171600,002577.XSHE,2020-12-31,2021-02-09,2020-12-31,0.16,29039219.48,41638114.4,11741823.44,4.5145,2.8185,4.0774,10.3339,27.2068,90.7491,11.6897,10.3339,10.219,2.6043,0.7868,76.307,21.5183,62.4327,101.5495,-1.0569,-11.4254,0.0931,,0.0931,,132.3429,,126.7521,,126.7521,
24,171601,002245.XSHE,2020-12-31,2021-02-09,2020-12-31,0.2832,184900271.86,240005885.2,-2853189.84,11.8806,7.9032,3.9930000000000003,6.6374,16.1373,94.3522,8.3681,6.6124,1.4469,2.8361,2.4338,67.3042,-0.8001,66.5224,93.1971,7.735,136.442,20.7617,,21.6327,,126.26799999999999,,91.29899999999999,,136.3303,
25,171602,002846.XSHE,2020-12-31,2021-02-09,2020-12-31,0.4,70738593.9,85559038.33,,10.1579,9.2581,4.5097,5.541,19.9476,93.5775,6.557,5.541,3.1991,5.1166,1.9486,98.4676,,91.14200000000001,83.2546,11.6839,181.9228,13.8237,,13.8237,,-9.9292,,-10.2331,,-2.678,
26,171603,300896.XSHE,2020-12-31,2021-02-09,2020-12-31,4.51,424232869.64,485589617.11,16302728.49,16.937,16.3394,16.1222,61.1019,92.1731,31.5387,70.8796,61.1019,10.3704,6.1333,-2.021,96.6047,3.2433,96.4716,102.17399999999999,60.0146,87.662,27.1777,,27.1777,,43.5535,,45.4465,,43.9346,
27,171604,002895.XSHE,2020-12-31,2021-02-10,2020-12-31,0.3366,113953999.4,160156151.93,8621151.68,5.7811,4.6194,4.3458,8.0563,24.6105,90.9886,10.0628,8.0563,6.1528,6.0546,0.8023,90.3454,4.8633,79.9045,89.8622,14.3846,159.6262,1.5975,,1.5975,,-20.9899,,-20.2114,,-20.947,
28,171605,300160.XSHE,2020-12-31,2021-02-20,2020-12-31,0.2,100853275.96,143130942.43,356509.62,12.119000000000002,10.0237,7.0633,9.4775,26.4691,88.87299999999999,11.0186,9.4775,2.3364,7.5606,1.0447,100.4388,0.2502,82.711,74.5243,13.5057,121.3779,1.3619999999999999,,1.3619999999999999,,66.5996,,1.5166,,-2.3656,
29,171606,300860.XSHE,2020-12-31,2021-02-23,2020-12-31,4.34,228755649.77,321654859.3,26176479.55,13.7409,12.0664,10.7782,26.4764,38.3655,67.308,34.3831,26.4764,1.3094,3.9491,-0.8971,93.4319,7.6035,87.8139,52.6198,8.0049,24.4859,7.8682,,7.8682,,-1.6178,,2.6271,,2.6271,
30,171607,600891.XSHG,2020-12-31,2021-02-23,2020-12-31,-0.94,-566174703.05,-211407657.47,,,,-46.7192,-404.07,50.1009,246.641,-384.8609,-404.07,16.1611,31.8719,145.0039,,,,100.8531,18.7559,,-57.1508,,-56.9638,,-155.187,,-9.8799,,-9.7798,
31,171608,300816.XSHE,2020-12-31,2021-02-24,2020-12-31,1.6,112177891.79,128572019.27,7904717.07,23.4715,20.9976,14.5775,18.5404,35.9029,81.0116,20.7654,18.5404,7.6123,3.1081,0.3826,88.9719,5.4701,89.4601,65.8546,-2.0525,-10.8092,19.635,,19.635,,23.3534,,22.5513,,21.2968,
32,171609,002135.XSHE,2020-12-31,2021-02-24,2020-12-31,0.26,240672533.89,386866666.55,-21090329.9,6.2591,5.5625,2.1001,2.8467,11.607000000000001,95.8205,3.5948,2.8467,0.369,2.4313,0.7727,115.5913,-6.3015,88.8705,97.9109,4.8023,114.9004,3.1184,,3.1184,,18.1033,,-0.5956,,1.2464,
33,171623,002402.XSHE,2020-12-31,2021-02-25,2020-12-31,0.4385,366369158.61,456303850.01,41780801.07,15.4766,14.3179,7.8328,9.0133,22.9286,90.22,10.3765,9.0133,1.6402,4.6123,1.4242,94.8521,8.685,92.5134,88.9342,12.102,123.7419,27.8484,,27.8484,,37.7527,,31.2132,,30.5376,
34,171631,688018.XSHG,2020-12-31,2021-02-26,2020-12-31,1.3006,73851753.65,74573528.44,29858776.43,6.4013,4.5434,5.8544,12.517000000000001,41.2897,91.0291,13.2876,12.517000000000001,3.7876,5.6052,-0.3682,67.5123,27.0315,70.9758,104.6299,4.3373,48.3489,9.7511,,9.7511,,-34.5987,,-34.3543,,-34.3543,
35,171632,600749.XSHG,2020-12-31,2021-02-26,2020-12-31,0.0213,-25051967.54,-16476326.06,11814261.53,0.4541,-2.3985,0.434,4.6323,38.4329,113.0842,5.6263,4.6323,4.9491,42.9583,3.5041,-266.0264,190.7528,-528.188,108.9637,16.6255,,-32.9893,,-32.9893,,-66.9775,,-72.8737,,-77.2434,
36,171633,600212.XSHG,2020-12-31,2021-02-26,2020-12-31,0.0382,18203606.75,19985824.32,1351627.9,8.0613,7.5096,6.8782,7.0595,18.35,92.7797,7.1787,7.0595,0.1735,9.6293,-0.1177,102.2773,6.9169,93.1569,62.0104,7.3685,102.0533,5.9848,,5.9848,,105.65,,105.5575,,105.5575,
37,171634,002381.XSHE,2020-12-31,2021-02-27,2020-12-31,0.77,298808478.09,347684507.83,16555059.0,16.8496,15.9623,12.6166,17.3431,30.2391,80.8031,21.0265,17.3431,4.0621,3.555,-0.0523,91.9242,4.377,94.7342,82.3005,20.2401,105.434,18.7423,,18.7423,,28.0295,,27.6182,,26.8622,
38,171635,688021.XSHG,2020-12-31,2021-02-27,2020-12-31,1.04,69293946.13,76709192.21,5421022.62,9.2661,8.024,6.854,24.9438,52.3193,75.5817,25.8675,24.9438,4.334,9.4726,1.5556,90.0867,6.3664,86.5949,76.2178,10.6653,43.6777,17.1846,,17.1846,,41.5263,,51.793,,55.0103,
39,171636,688155.XSHG,2020-12-31,2021-02-27,2020-12-31,0.96,47913151.26,66836483.43,4448052.6,8.1916,6.4622,5.9602,12.1518,31.921,86.6953,13.1765,12.1518,1.8969999999999998,6.5155,-0.7018,101.1369,6.7308,78.8884,86.0839,8.603,64.6616,37.6519,,37.6519,,-19.9252,,-15.9516,,-15.5593,
40,171637,600605.XSHG,2020-12-31,2021-02-27,2020-12-31,0.337,31692868.65,41798275.91,7416007.82,6.6947,4.2673,6.095,53.558,70.3744,54.8545,53.501000000000005,53.558,4.2053,22.9789,-5.7989,63.0489,11.1864,63.7406,100.4896,-690.4275,-1529.3383,-23.028000000000002,,-23.028000000000002,,105.0857,,114.9462,,115.5298,
41,171638,300056.XSHE,2020-12-31,2021-02-27,2020-12-31,0.055,-51667168.08,40183283.29,6825154.16,2.1818,-5.3843,2.2159,2.1396,11.1523,97.7974,0.3077,2.1396,2.1352,3.6764,0.9793,85.4191,14.5085,-246.7878,108.1429,-9.1073,-413.4882,23.6254,,23.6254,,139.205,,487.3861,,204.0256,
42,171639,002319.XSHE,2020-12-31,2021-02-27,2020-12-31,0.04,-30548203.88,-22427097.07,33486723.33,5.1767,-21.6337,1.1411,2.3238,24.2991,107.1296,4.3835,2.3238,3.2009,16.0714,7.4595,-181.9802,271.7213,-417.9076,94.5679,8.7734,,-17.8803,,-17.8803,,105.0014,,102.5077,,102.5077,
43,171640,300050.XSHE,2020-12-31,2021-02-27,2020-12-31,0.05,-49234190.99,14074169.88,44239674.48,1.0768,-2.0451,0.7646,3.6081,41.5504,97.9155,4.2402,3.6081,11.8272,14.9796,0.8057,38.3749,120.6247,-189.9249,170.9016,3.9786,190.8656,-45.7408,,-45.7408,,106.3069,,105.0139,,105.3695,
44,171641,002125.XSHE,2020-12-31,2021-02-27,2020-12-31,0.04,20573380.89,14223438.77,5762498.44,1.7045,1.3861,0.6799,1.9928,20.3946,98.8475,2.181,1.9928,3.4274,6.7618,6.6276,56.3702,22.8379,81.3224,63.9473,1.2209999999999999,105.949,1.9938,,1.9938,,-67.1533,,-65.021,,-62.7917,
45,171642,002138.XSHE,2020-12-31,2021-02-27,2020-12-31,0.74,527090057.88,680253594.04,-3261713.51,12.7065,11.3809,8.6375,17.1752,36.2587,80.4334,19.918,17.1752,2.6726,4.4666,1.5923,99.0843,-0.4751,89.5672,95.6708,23.3763,119.4704,29.0871,,29.0871,,50.1929,,47.1612,,46.5024,
46,171643,002288.XSHE,2020-12-31,2021-02-27,2020-12-31,0.023,35554744.03,-6973204.68,10628795.31,1.3577,2.2486,0.5717,1.5704,18.4326,100.5457,4.2924,1.5704,2.6248,4.6482,5.2836,-41.8589,63.8028,165.6103,105.2637,4.9664,,-3.2942,,-3.2942,,36.2619,,13.3733,,16.0303,
